ANNOTATIONSESSIONID,ANNOTATORID,CHARUID,FIXATIONUID,READERUID,TEXTLANG,TEXTUID
45,11,6497,851912,3,en,7
45,11,5602,851693,3,en,7
45,11,6089,851799,3,en,7
45,11,6355,851875,3,en,7
45,11,5578,851685,3,en,7
45,11,5663,851707,3,en,7
45,11,6236,851836,3,en,7
45,11,5854,851753,3,en,7
45,11,5984,851779,3,en,7
45,11,6559,851927,3,en,7
45,11,5741,851729,3,en,7
45,11,5893,851760,3,en,7
45,11,6562,851928,3,en,7
45,11,5630,851699,3,en,7
45,11,5941,851770,3,en,7
45,11,6185,851805,3,en,7
45,11,5671,851711,3,en,7
45,11,6523,851918,3,en,7
45,11,5695,851718,3,en,7
45,11,6222,851831,3,en,7
45,11,5886,851759,3,en,7
45,11,6409,851892,3,en,7
45,11,6500,851913,3,en,7
45,11,6182,851822,3,en,7
45,11,6321,851860,3,en,7
45,11,5667,851709,3,en,7
45,11,6401,851890,3,en,7
45,11,5660,851705,3,en,7
45,11,5688,851716,3,en,7
57,18,3132,803091,98,en,4
57,18,2972,803059,98,en,4
57,18,3173,803104,98,en,4
57,18,3179,803105,98,en,4
57,18,2878,803035,98,en,4
57,18,2950,803055,98,en,4
57,18,3020,803067,98,en,4
57,18,2880,803034,98,en,4
57,18,2896,803010,98,en,4
57,18,2972,803025,98,en,4
57,18,3045,803049,98,en,4
57,18,2955,803056,98,en,4
57,18,3016,803040,98,en,4
57,18,3140,803092,98,en,4
57,18,3023,803044,98,en,4
57,18,2907,803015,98,en,4
57,18,2999,803037,98,en,4
57,18,3042,803069,98,en,4
57,18,2918,803005,98,en,4
57,18,2906,802998,98,en,4
57,18,3039,803070,98,en,4
57,18,2874,802995,98,en,4
57,18,2873,802988,98,en,4
57,18,2888,802992,98,en,4
57,18,3102,803085,98,en,4
57,18,3094,803083,98,en,4
57,18,3071,803077,98,en,4
57,18,3081,803080,98,en,4
57,18,2885,803012,98,en,4
57,18,2952,803021,98,en,4
57,18,3072,803075,98,en,4
57,18,2993,803064,98,en,4
57,18,2889,802991,98,en,4
57,18,3015,803043,98,en,4
57,18,2990,803060,98,en,4
57,18,2959,803057,98,en,4
57,18,3027,803046,98,en,4
57,18,2872,802985,98,en,4
57,18,2968,803026,98,en,4
57,18,2981,803028,98,en,4
57,18,3159,803103,98,en,4
57,18,2881,802990,98,en,4
57,18,3215,803114,98,en,4
57,18,2916,803001,98,en,4
57,18,2925,803017,98,en,4
57,18,3001,803042,98,en,4
57,18,3143,803093,98,en,4
57,18,2997,803032,98,en,4
57,18,3210,803089,98,en,4
57,18,3208,803112,98,en,4
57,18,3244,803098,98,en,4
57,18,3081,803079,98,en,4
57,18,2875,802994,98,en,4
57,18,3053,803050,98,en,4
57,18,2988,803065,98,en,4
57,18,2930,803018,98,en,4
57,18,2917,803004,98,en,4
57,18,2960,803024,98,en,4
57,18,3182,803106,98,en,4
57,18,2876,802987,98,en,4
57,18,3004,803038,98,en,4
57,18,2917,802999,98,en,4
57,18,2992,803031,98,en,4
57,18,2994,803030,98,en,4
57,18,3191,803107,98,en,4
57,18,2925,803052,98,en,4
57,18,3033,803068,98,en,4
57,18,3083,803081,98,en,4
